time,Irms,VibrationMag
1493.796,0.230338767,0.042674404
1494.796,0.273971349,0.060452804
1495.796,0.285726935,0.080995865
1496.796,0.270535916,0.039340511
1497.796,0.310329288,0.04913738
1498.796,0.253600955,0.0571495
1499.796,0.313259721,0.037032038
1500.797,0.240619808,0.059794832
1501.794,0.313272655,0.051063508
1502.796,0.234484479,0.043512445
1503.797,0.260752231,0.0613195
1504.796,0.245182186,0.051613975
1505.796,0.244293511,0.042170193
1506.795,0.246231973,0.046238687
1507.796,0.319180787,0.044359427
1508.796,0.253018677,0.057521079
1509.796,0.310262442,0.055526409
1510.797,0.278940857,0.063670903
1511.796,0.313031942,0.037068218
1512.796,0.307171315,0.046576142
1513.796,0.245116115,0.037474521
1514.796,0.313086599,0.058007795
1515.796,0.250662357,0.035341535
1516.797,0.310362905,0.060940515
1517.796,0.310519725,0.057399631
1518.797,0.318156362,0.053790927
1519.796,0.307748497,0.049699653
1520.796,0.313771427,0.046244029
1521.797,0.316973954,0.059230503
1522.797,0.297244906,0.053212419
1523.796,0.262143403,0.051566672
1524.796,0.29501465,0.032680951
1525.797,0.247660369,0.043792199
1526.796,0.300571561,0.046824295
1527.796,0.309628069,0.052899554
1528.796,0.305642724,0.05144931
1529.796,0.305508792,0.055101436
1530.796,0.291607976,0.045409631
1531.796,0.309025407,0.056739192
1532.796,0.300169081,0.046819892
1533.796,0.313842446,0.045827959
1534.796,0.311370224,0.054334894
1535.797,0.313018799,0.054807287
1536.796,0.30631569,0.032777466
1537.796,0.282900274,0.04740702
1538.796,0.267914504,0.044488847
1539.796,0.242429555,0.049284011
1540.796,0.237368479,0.037529022
1541.797,0.227286279,0.037968099
1542.796,0.260860115,0.053472202
1543.796,0.272596538,0.038761176
1544.796,0.296689481,0.031271603
1545.797,0.303845018,0.055440038
1546.797,0.313429207,0.047464699
1547.795,0.319433212,0.050365318
1548.796,0.317007303,0.07543125
1549.797,0.318456084,0.040910274
1550.796,0.311843336,0.055433378
1551.797,0.311151892,0.046877097
1552.797,0.313416332,0.076113544
1553.795,0.316420198,0.040002882
1554.796,0.315662175,0.052778885
1555.797,0.312684149,0.06906914
1556.796,0.312989831,0.050045986
1557.796,0.309045553,0.070905626
1558.796,0.315239668,0.060403049
1559.796,0.311210632,0.029295394
1560.796,0.308110178,0.040139567
1561.797,0.303276062,0.054318845
1562.796,0.303692013,0.066445567
1563.796,0.303360581,0.063876607
1564.796,0.309198648,0.05480678
1565.796,0.310835183,0.04038297
1566.795,0.320215613,0.06355682
1567.796,0.311759859,0.035790559
1568.797,0.307164729,0.030300131
1569.797,0.302271962,0.037478972
1570.796,0.307977825,0.0413686
1571.796,0.318093181,0.033062827
1572.796,0.312062651,0.060182828
1573.797,0.313936353,0.05600385
1574.795,0.312883645,0.036444593
1575.796,0.300590485,0.017347077
1576.796,0.305231184,0.053305957
1577.796,0.312336057,0.065887213
1578.796,0.309605897,0.052405555
1579.797,0.3132644,0.054428399
1580.796,0.313835949,0.054060381
1581.796,0.321706504,0.049172033
1582.796,0.307184577,0.054501563
1583.797,0.297528118,0.04791199
1584.796,0.293006361,0.04219985
1585.796,0.302112073,0.045503948
1586.796,0.283929735,0.037229475
1587.796,0.286823839,0.029065795
1588.796,0.272085875,0.043409031
1589.796,0.266755909,0.038747068
1590.796,0.26218757,0.043835014
1591.797,0.261551648,0.044503842
1592.796,0.264651686,0.051656693
1593.796,0.257738829,0.049761433
1594.797,0.25035733,0.055749774
1595.796,0.245405614,0.05216451
1596.796,0.23735401,0.048599362
1597.796,0.228074327,0.060100485
1598.797,0.257087499,0.053127375
1599.796,0.241170019,0.039922778
1600.796,0.316491455,0.039109282
1601.797,0.250763476,0.044465821
1602.796,0.303492695,0.046729874
1603.796,0.277600557,0.029831717
1604.796,0.309908509,0.041632432
1605.797,0.306838453,0.043745134
1606.795,0.261452973,0.044551481
1607.796,0.323996604,0.056919176
1608.796,0.253219456,0.038416401
1609.796,0.319268674,0.041384745
1610.797,0.31163162,0.047474567
1611.796,0.314379126,0.057731926
1612.796,0.292555779,0.076697744
1613.797,0.312511236,0.031075746
